BKKB15127800                  ,ONE       ,SHARP APPLIANCES (THAILAND) LTD.                                                                                                                                                    ,          ,                                        ,                                                                                ,2021-02-23 00:00:00.000,ELECTRONIC GOODS  N.O.S.,CREDIT LIFT ON MTY CMDT : ELECTRONIC GOODS  N.O.S. :,2021-02-19 09:20:26.713
BKKB17696700                  ,ONE       ,SUNRISE LOGIX THAILAND CO LTD                                                                                                                                                       ,          ,                                        ,                                                                                ,2021-03-01 00:00:00.000, USED HOUSEHOLD GOODS AND PERSONAL EFFECTS ,SHPR : YAO LANG TRADING CO. LTD CMDT : USED HOUSEHOLD GOODS AND PERSONAL EFFECTS : SUBJECT TO ROLLOVER,2021-02-19 09:20:26.823
BKKB19646400                  ,ONE       ,TRUE MARINE CO. LTD.                                                                                                                                                                ,          ,                                        ,                                                                                ,2021-03-16 00:00:00.000, BAGS  SACKS  OF PLASTICS  N.O.S. ,SHPR : THANTAWAN INDUSTRY PUBLIC COMPANY LIMITED CMDT : BAGS & SACKS  OF PLASTICS  N.O.S. : REQUEST GOOD AND CLEAN CONTAINER,2021-02-19 09:20:26.880
BKKB20950800                  ,ONE       ,NR INSTANT PRODUCE PUBLIC COMPANY LIMITED                                                                                                                                           ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FOODSTUFFS N.O.S.  FROZEN  HS CODE 2103.90 ,CMDT : FOODSTUFFS N.O.S.  FROZEN / HS CODE 2103.90 :,2021-02-19 09:20:26.927
BKKB21182600                  ,ONE       ,WELLTRANS INTERFREIGHT CO.  LTD.                                                                                                                                                    ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, BEAD WIRE ,SHPR : RAJRATAN THAI WIRE CO. LTD. . CMDT : BEAD WIRE :,2021-02-19 09:20:26.950
BKKB24593800                  ,ONE       ,GRANDLINK LOGISTICS CO.  LTD.                                                                                                                                                       ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, ENERGY DRINK ,USE LASHING RING(INSIDE A CONTAINER FOR CARGOES BLOCKING) SHPR : OSOTSPA PUBLIC COMPANY LIMITED CMDT : ENERGY DRINK :,2021-02-19 09:20:27.040
BKKB24623900                  ,ONE       ,SUREE INTERFOODS CO.  LTD.                                                                                                                                                          ,          ,                                        ,                                                                                ,2021-02-24 00:00:00.000, FOODSTUFFS  N.O.S. ,CMDT : FOODSTUFFS  N.O.S. :,2021-02-19 09:20:27.060
BKKB25641300                  ,ONE       ,N.B. VALUE LINK CO.  LTD.                                                                                                                                                           ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, PURE FRUIT VEGETABLE JUICE   OTHER ,CMDT : PURE FRUIT VEGETABLE JUICE   OTHER :,2021-02-19 09:20:27.267
BKKB25648300                  ,ONE       ,SHERA PUBLIC COMPANY LIMITED                                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, FIBRE BOARD ,SHPR : SHERA PUBLIC COMPANY LIMITED CMDT : FIBRE BOARD :,2021-02-19 09:20:27.277
BKKB25649400                  ,ONE       ,SHERA PUBLIC COMPANY LIMITED                                                                                                                                                        ,          ,                                        ,                                                                                ,2021-02-22 00:00:00.000, WOODEN FIBREBOARD  OTHER LIGNEOUS MAT.   OF A THICKNESS EXCEEDING 5 MM BUT NOT EXCEEDING 9 MM ,SHPR : SHERA PUBLIC COMPANY LIMITED CMDT : WOODEN FIBREBOARD  OTHER LIGNEOUS MAT.   OF A THICKNESS EXCEEDING 5 MM BUT NOT EXCEEDING 9 MM :,2021-02-19 09:20:27.290
