UETU5148163,40,HC,"MLCHNKGJS2105F1               ","126551              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","774753 ",2021-04-12 08:31:46.013,"ZD041     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","780594 ",2021-04-16 14:37:33.673
TCKU6686075,40,HC,"MLCHNKGJS2105F1               ","126528              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","774753 ",2021-04-12 08:57:39.423,"ZD042     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","759139 ",2021-04-16 14:35:40.027
MOFU0641961,40,GP,"BKKB71252900                  ","THAO68392           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","617540 ",2021-04-07 07:38:41.467,"V021      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","727294 ",2021-04-16 14:34:28.000
DRYU4303456,40,GP,"BKKB71252900                  ","THAO68417           ","AW (THAILAND) CO.,LTD.                                                                              ","21SEX-03872-00      ","JAPAN                                                                                               ","NYK SILVIA 549N                                                                                     ","                    ","                    ",2021-04-16,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761493 ",2021-04-07 12:43:05.680,"V022      ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","787200 ",2021-04-16 14:33:19.530
TGBU6408382,40,HC,"MLCHNKGJS2105F1               ","126537              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","787200 ",2021-04-03 09:43:29.923,"ZC012     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604245 ",2021-04-16 13:56:33.257
TCNU1974026,40,HC,"MLCHNKGJS2105F1               ","126521              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761561 ",2021-04-03 10:28:35.313,"ZC021     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738408 ",2021-04-16 13:42:30.410
MSLU9180971,40,HC,"MLCHNKGJS2105F1               ","126540              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648595 ",2021-04-03 07:51:20.443,"ZC011     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","711731 ",2021-04-16 13:38:54.027
UETU5881355,40,HC,"MLCHNKGJS2105F1               ","126539              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","604244 ",2021-04-03 10:56:08.853,"ZC022     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648594 ",2021-04-16 13:22:01.670
TGBU6412844,40,HC,"MLCHNKGJS2105F1               ","126538              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635390 ",2021-04-03 11:57:38.240,"ZC023     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","648595 ",2021-04-16 13:01:45.863
TEMU8230812,40,HC,"MLCHNKGJS2105F1               ","126524              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","761494 ",2021-04-03 14:29:41.017,"ZC031     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","780594 ",2021-04-16 11:19:21.020
TCNU1977370,40,HC,"MLCHNKGJS2105F1               ","126523              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635388 ",2021-04-03 15:04:29.123,"ZC032     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","738347 ",2021-04-16 11:11:59.787
MSLU9120458,40,HC,"MLCHNKGJS2105F1               ","126522              ","MAZDA POWERTRAIN MANUFACTURING (THAILAND) CO.,LTD.                                                  ","21SEX-03821-00      ","CMA CHINA                                                                                           ","JOSCO SHINE 2105N                                                                                   ","                    ","                    ",2021-04-19,"MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","635389 ",2021-04-03 15:12:42.080,"ZC033     ","MOL LOGISTICS (THAILAND) CO.,LTD                                                                    ","655455 ",2021-04-16 11:07:57.227
